,HDFS,Hadoop,Spark,Zookeeper,BGL,HPC,Thunderbird,Windows,Linux,Andriod,HealthApp,Apache,Proxifier,OpenSSH,OpenStack,Mac
Precision,1.0,0.999951474959057,0.9999368878117743,0.9996113446968741,0.9993671502287995,0.9577177308416227,0.9997930405919039,0.9999889038071038,0.9759307416307318,0.8300114335156515,0.6590046246162078,1.0,0.9999700207793473,0.9965839698135219,0.8230734688299264,0.9715313044445268
Recall,0.9999686056596148,0.9985422622797241,0.6240714043753299,0.9111034435166655,0.9996201939932219,0.9958430586825853,0.9975498566447729,0.8398959915749448,0.5880248238273835,0.9849049685265538,0.9993383112931425,1.0,0.5906021477769712,0.9985972192794675,0.650687181793927,0.9154063777024903
F1 Measure,0.9999843025834023,0.9992463717751077,0.7685084132458297,0.9533074679169354,0.9994936560951146,0.9764083713700561,0.9986701889762841,0.9129774085705602,0.7338718760171934,0.9008485282116065,0.7942489510919009,1.0,0.7426062817645156,0.9975895788058106,0.7267982838537433,0.942634153359229
Accuracy,0.9975,0.9415,0.6055,0.839,0.9515,0.8065,0.657,0.708,0.288,0.7325,0.442,1.0,0.0,0.54,0.213,0.629
