,Andriod,HealthApp,Apache,Proxifier,OpenSSH,OpenStack,Mac
Precision,0.04092796398199099,0.10357478739369685,0.32828664332166085,0.4520420210105053,0.13693946973486743,0.22687293646823412,0.014322661330665332
Recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F1 Measure,0.07863745695797078,0.18770778125206816,0.4943009025532484,0.6226293929096075,0.24089139902373433,0.36983933661676016,0.028240838693036358
Accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
