,HDFS,Hadoop,Spark,Zookeeper,BGL,HPC,Thunderbird,Windows,Linux,Andriod,HealthApp,Apache,Proxifier,OpenSSH,OpenStack,Mac
Precision,1.0,1.0,1.0,1.0,0.9989408022526691,1.0,0.9990912243360557,0.999974745490667,1.0,0.9913900054587862,1.0,1.0,1.0,1.0,0.9845627989984784,0.9976508998248129
Recall,0.9081480086177465,0.7947214549918431,0.9494087711420446,0.8591309548455364,0.9949975978081622,0.9715675541693347,0.9953816584730484,0.8303036374989515,0.8550872384186214,0.9767157611684899,0.6114293442037035,0.8911062179521367,0.6150800325796342,0.871725931716726,0.9901790222680857,0.8751702699870769
F1 Measure,0.9518632773938795,0.8856209444439445,0.9740479115479116,0.9242285516319815,0.9969653009979053,0.9855787615440625,0.9972329916512336,0.907274736241802,0.9218835866150908,0.9839981775531188,0.7588658434240498,0.9424179451084543,0.7616712734627987,0.931467494193649,0.9873629242819842,0.932405529610955
Accuracy,0.546,0.563,0.7985,0.7315,0.835,0.7875,0.5985,0.713,0.6285,0.7975,0.5305,0.7085,0.478,0.4255,0.6955,0.6035
