,HDFS,Hadoop,Spark,Zookeeper,BGL,HPC,Thunderbird,Windows,Linux,Andriod,HealthApp,Apache,Proxifier,OpenSSH,OpenStack,Mac
Precision,1.0,0.9981576815006229,0.9838821564349298,0.9991908604004321,0.9992441715244055,0.9850954321252413,0.9998390078111025,1.0,0.9849866569768577,0.998513330876029,0.9848452177566941,1.0,1.0,0.998442566446243,0.9991888630675724,0.9759457380602755
Recall,0.9999686056596148,0.9998223255964207,1.0,0.9998803855266487,0.9999545531273941,0.996256170863198,0.9988186099705347,0.9999883503108137,1.0,0.9933264071380554,0.860320894873603,1.0,0.6459366202170795,1.0,0.9859719217937948,0.9749572142083756
F1 Measure,0.9999843025834023,0.998989310088138,0.9918756043483781,0.9995355040470935,0.9995992361148294,0.9906443678786542,0.99932854841305,0.9999941751214778,0.9924365521700748,0.9959131154070034,0.9183811834096821,1.0,0.7848863829664209,0.9992206763507211,0.992536394096149,0.9754512256914717
Accuracy,0.9975,0.9475,0.92,0.9665,0.9625,0.887,0.955,0.997,0.69,0.911,0.78,1.0,0.5265,0.7875,0.7325,0.7865
