,HDFS,Hadoop,Spark,Zookeeper,BGL,HPC,Thunderbird,Windows,Linux,Andriod,HealthApp,Apache,Proxifier,OpenSSH,OpenStack,Mac
Precision,1.0,0.1238839419709855,0.5768106129626642,0.9991778874959939,0.9999890821350976,0.6389487660882033,0.964955339180816,0.9998229535998658,0.8773398997287278,0.9999627491152915,0.9808175978413551,1.0,1.0,0.999933619323415,0.8803636618108446,0.9892297650130548
Recall,1.0,1.0,1.0,0.9896809513951188,0.8919792762260917,0.9964627269535042,0.9999980144705387,0.9999860203729765,0.980142524787135,0.984318279044185,0.8532306830366199,1.0,0.6854792658958514,0.8804567804721234,0.9986108630509416,0.2117285459816283
F1 Measure,1.0,0.22045682360000074,0.731616857751733,0.9944067451879518,0.9429011154176767,0.7786280487189783,0.9821642039903352,0.9999044803380931,0.9258963994135638,0.9920788420080073,0.9125863017519934,1.0,0.8133938871464091,0.9363995213452064,0.9357665093243164,0.34880174918726087
Accuracy,1.0,0.0,0.6335,0.8545,0.6455,0.574,0.8125,0.9895,0.5185,0.9085,0.5915,1.0,0.495,0.4255,0.787,0.3685
