,HDFS,Hadoop,Spark,Zookeeper,BGL,HPC,Thunderbird,Windows,Linux,Andriod,HealthApp,Apache,Proxifier,OpenSSH,OpenStack,Mac
Precision,0.9991217029552343,0.9968102587234591,0.999936981574988,0.9997785977859779,0.9961955167918113,0.960741144741385,0.9997552428766723,0.9889313112706581,0.9986139417179396,0.8652477709190672,0.9841893074307486,1.0,0.9960087649363095,0.9999808759576364,0.8213230806565238,0.8813038893368897
Recall,0.9999686056596148,0.9994346723522476,1.0,0.9971798587629103,0.9996137015828497,0.9915053807861525,0.9975617698215407,0.8430810165984771,0.41011081074112493,0.9868361547393509,0.8583551481313332,1.0,0.6705218496024931,0.9550817923446164,1.0,0.9924557298033599
F1 Measure,0.9995449749147809,0.9981207404121467,0.9999684897946323,0.9984775373417939,0.9979016820570321,0.9758808655544402,0.9986573019023379,0.9102004419608776,0.5814370373494739,0.9220508545227177,0.9169753882668593,1.0,0.8014801929938854,0.9770157681434547,0.9018971860395745,0.9335830335288223
Accuracy,0.885,0.9,0.9935,0.8385,0.854,0.8165,0.6485,0.588,0.2785,0.616,0.5485,1.0,0.0255,0.5005,0.2,0.599
